Date,Total
2019-01-02,470812
2019-01-03,342462
2019-01-04,264550
2019-01-05,226283
2019-01-06,216036
2019-01-07,125371
2019-01-08,85270
2019-01-10,72508
2019-01-11,91714
2019-01-12,255440
2019-01-13,337669
2019-01-14,167323
2019-01-15,82720
2019-01-17,73934
2019-01-18,89550
2019-01-19,137808
2019-01-20,136914
2019-01-21,83776
2019-01-22,66832
2019-01-24,78650
2019-01-25,81775
2019-01-26,149110
2019-01-27,170478
2019-01-28,70170
2019-01-29,89003
2019-01-31,76224
2019-02-01,72608
2019-02-02,149436
2019-02-03,142893
2019-02-04,100470
2019-02-05,97576
2019-02-07,80240
2019-02-08,69773
2019-02-09,128000
2019-02-10,153195
2019-02-11,188207
2019-02-12,160756
2019-02-14,83934
2019-02-15,94882
2019-02-16,105198
2019-02-17,147688
2019-02-18,108587
2019-02-19,60642
2019-02-21,97293
2019-02-22,85809
2019-02-23,145922
2019-02-24,169966
2019-02-25,129382
2019-02-26,110648
2019-02-28,71666
2019-03-01,81834
2019-03-02,161994
2019-03-03,160554
2019-03-04,108908
2019-03-05,126807
2019-03-07,76796
2019-03-08,109905
2019-03-09,161942
2019-03-10,162549
2019-03-11,76539
2019-03-12,97746
2019-03-14,105648
2019-03-15,85089
2019-03-16,126660
2019-03-17,168423
2019-03-18,116265
2019-03-19,99148
2019-03-21,158829
2019-03-22,140730
2019-03-23,164032
2019-03-24,176756
2019-03-25,127734
2019-03-26,138546
2019-03-28,128000
2019-03-29,149537
2019-03-30,183890
2019-03-31,196510
2019-04-01,124403
2019-04-02,125411
2019-04-04,120490
2019-04-05,114846
2019-04-06,187362
2019-04-07,187710
2019-04-08,110389
2019-04-09,119846
2019-04-11,122110
2019-04-12,155100
2019-04-13,239202
2019-04-14,228194
2019-04-15,163568
2019-04-16,166470
2019-04-18,143237
2019-04-19,155048
2019-04-20,220480
2019-04-21,225875
2019-04-22,91195
2019-04-23,105100
2019-04-25,83548
2019-04-26,96419
2019-04-27,185552
2019-04-28,222885
2019-04-29,296032
2019-04-30,263361
2019-05-01,297420
2019-05-02,272814
2019-05-03,294375
2019-05-04,280069
2019-05-05,193960
2019-05-06,197816
2019-05-07,92175
2019-05-09,84664
2019-05-10,105446
2019-05-11,126408
2019-05-12,164004
2019-05-13,99044
2019-05-14,113715
2019-05-16,87261
2019-05-17,122232
2019-05-18,157425
2019-05-19,220909
2019-05-20,94125
2019-05-21,92229
2019-05-23,89595
2019-05-24,115738
2019-05-25,219273
2019-05-26,229128
2019-05-27,105984
2019-05-28,101605
2019-05-30,116864
2019-05-31,107996
2019-06-01,175294
2019-06-02,169020
2019-06-03,113072
2019-06-04,79662
2019-06-06,88961
2019-06-07,85099
2019-06-08,166405
2019-06-09,172428
2019-06-10,88458
2019-06-11,95520
2019-06-13,121895
2019-06-14,130342
2019-06-15,111304
2019-06-16,154639
2019-06-17,97070
2019-06-18,87838
2019-06-20,81063
2019-06-21,92886
2019-06-22,267916
2019-06-23,245462
2019-06-24,92839
2019-06-25,90864
2019-06-27,89377
2019-06-28,101643
2019-06-29,167000
2019-06-30,178519
2019-07-01,106629
2019-07-02,74611
2019-07-04,74987
2019-07-05,88032
2019-07-06,155916
2019-07-07,136828
2019-07-08,126709
2019-07-09,94841
2019-07-11,130005
2019-07-12,108135
2019-07-13,159176
2019-07-14,222203
2019-07-15,216597
2019-07-16,91148
2019-07-18,85824
2019-07-19,101680
2019-07-20,157714
2019-07-21,180744
2019-07-22,114933
2019-07-23,153854
2019-07-25,99715
2019-07-26,95964
2019-07-27,158329
2019-07-28,214311
2019-07-29,117706
2019-07-30,106882
2019-08-01,98111
2019-08-02,87887
2019-08-03,349568
2019-08-04,168374
2019-08-05,80934
2019-08-06,119703
2019-08-08,120993
2019-08-09,123405
2019-08-10,150189
2019-08-11,211528
2019-08-12,253705
2019-08-13,221001
2019-08-14,225149
2019-08-15,227547
2019-08-16,191432
2019-08-17,171591
2019-08-18,157013
2019-08-19,132566
2019-08-20,118117
2019-08-22,145389
2019-08-23,112343
2019-08-24,168267
2019-08-25,179943
2019-08-26,132564
2019-08-27,127041
2019-08-29,102215
2019-08-30,99193
2019-08-31,149978
2019-09-01,186093
2019-09-02,116868
2019-09-03,81735
2019-09-05,97216
2019-09-06,113236
2019-09-07,137808
2019-09-08,177648
2019-09-09,95380
2019-09-10,88545
2019-09-11,1024
2019-09-12,108615
2019-09-13,102289
2019-09-14,149898
2019-09-15,213331
2019-09-16,199816
2019-09-17,104475
2019-09-19,500
2019-09-20,98229
