,Date,Total
0,2018-04-26,154847
1,2018-04-27,115404
2,2018-04-28,214596
3,2018-04-29,266887
4,2018-04-30,243023
5,2018-05-01,178002
6,2018-05-03,295580
7,2018-05-04,319258
8,2018-05-05,314094
9,2018-05-06,194458
10,2018-05-07,77920
11,2018-05-08,120288
12,2018-05-10,139507
13,2018-05-11,124279
14,2018-05-12,173772
15,2018-05-13,167146
16,2018-05-14,183738
17,2018-05-15,123523
18,2018-05-17,136324
19,2018-05-18,119639
20,2018-05-19,176133
21,2018-05-20,225944
22,2018-05-21,126710
23,2018-05-22,124832
24,2018-05-24,149209
25,2018-05-25,131120
26,2018-05-26,234516
27,2018-05-27,254770
28,2018-05-28,121127
29,2018-05-29,136000
30,2018-05-31,98306
31,2018-06-01,96348
32,2018-06-02,133386
33,2018-06-03,177600
34,2018-06-04,97464
35,2018-06-05,84759
36,2018-06-07,92087
37,2018-06-08,101613
38,2018-06-09,155254
39,2018-06-10,179647
40,2018-06-11,99016
41,2018-06-12,101206
42,2018-06-14,111001
43,2018-06-15,84298
44,2018-06-16,156464
45,2018-06-17,175705
46,2018-06-18,125055
47,2018-06-19,102558
48,2018-06-21,116369
49,2018-06-22,90414
50,2018-06-23,290215
51,2018-06-24,298974
52,2018-06-25,92122
53,2018-06-26,79979
54,2018-06-28,96633
55,2018-06-29,93932
56,2018-06-30,172305
57,2018-07-01,166066
58,2018-07-02,91755
59,2018-07-03,82570
60,2018-07-05,67595
61,2018-07-06,88669
62,2018-07-07,141810
63,2018-07-08,173390
64,2018-07-09,94914
65,2018-07-10,98216
66,2018-07-12,101531
67,2018-07-13,91054
68,2018-07-14,149542
69,2018-07-15,168935
70,2018-07-16,156360
71,2018-07-17,105594
72,2018-07-19,94263
73,2018-07-20,75670
74,2018-07-21,176936
75,2018-07-22,188904
76,2018-07-23,100724
77,2018-07-24,77000
78,2018-07-26,68937
79,2018-07-27,97895
80,2018-07-28,159431
81,2018-07-29,203460
82,2018-07-30,91347
83,2018-07-31,115380
84,2018-08-02,98120
85,2018-08-03,110311
86,2018-08-04,223959
87,2018-08-05,168041
88,2018-08-06,122505
89,2018-08-07,160031
90,2018-08-09,131674
91,2018-08-10,98537
92,2018-08-11,220499
93,2018-08-12,201212
94,2018-08-13,185724
95,2018-08-14,200972
96,2018-08-15,183379
97,2018-08-16,250546
98,2018-08-17,189598
99,2018-08-18,196901
100,2018-08-19,224616
101,2018-08-20,133429
102,2018-08-21,123645
103,2018-08-23,135421
104,2018-08-24,113872
105,2018-08-25,163228
106,2018-08-26,170769
107,2018-08-27,117579
108,2018-08-28,122661
109,2018-08-30,111719
110,2018-08-31,107299
111,2018-09-01,158187
112,2018-09-02,226889
113,2018-09-03,94085
114,2018-09-04,81738
115,2018-09-06,124405
116,2018-09-07,108796
117,2018-09-08,137185
118,2018-09-09,179356
119,2018-09-10,101135
120,2018-09-13,142697
121,2018-09-14,114108
122,2018-09-15,140184
123,2018-09-16,195630
124,2018-09-17,175200
125,2018-09-18,111007
126,2018-09-19,290
127,2018-09-20,99214
128,2018-09-21,115577
129,2018-09-22,161742
130,2018-09-23,204532
131,2018-09-24,226790
132,2018-09-25,96165
133,2018-09-27,99094
134,2018-09-28,110190
135,2018-09-29,144113
136,2018-09-30,123487
137,2018-10-01,109659
138,2018-10-02,169513
139,2018-10-04,5300
140,2018-10-05,123256
141,2018-10-06,130873
142,2018-10-07,197367
143,2018-10-08,200218
144,2018-10-09,105451
145,2018-10-11,101768
146,2018-10-12,129778
147,2018-10-13,140909
148,2018-10-14,163964
149,2018-10-15,109160
150,2018-10-16,101311
151,2018-10-18,78326
152,2018-10-19,94217
153,2018-10-20,137017
154,2018-10-21,174393
155,2018-10-22,120880
156,2018-10-23,99736
157,2018-10-25,114090
158,2018-10-26,104863
159,2018-10-27,152052
160,2018-10-28,172319
161,2018-10-29,119028
162,2018-10-30,99598
163,2018-11-01,93200
164,2018-11-02,102684
165,2018-11-03,212120
166,2018-11-04,184720
167,2018-11-05,116806
168,2018-11-06,85447
169,2018-11-08,102235
170,2018-11-09,110433
171,2018-11-10,174170
172,2018-11-11,166654
173,2018-11-12,92758
174,2018-11-13,78164
175,2018-11-15,99194
176,2018-11-16,99212
177,2018-11-17,162518
178,2018-11-18,179736
179,2018-11-19,84158
180,2018-11-20,101643
181,2018-11-22,105243
182,2018-11-23,164549
183,2018-11-24,195538
184,2018-11-25,160010
185,2018-11-26,109793
186,2018-11-27,73730
187,2018-11-29,85950
188,2018-11-30,82260
189,2018-12-01,120410
190,2018-12-02,176795
191,2018-12-03,89626
192,2018-12-04,90179
193,2018-12-06,74228
194,2018-12-07,91990
195,2018-12-08,138000
196,2018-12-09,196010
197,2018-12-10,82360
198,2018-12-11,82090
199,2018-12-13,84608
200,2018-12-14,72010
201,2018-12-15,136742
202,2018-12-16,121728
203,2018-12-17,87391
204,2018-12-18,79699
205,2018-12-20,76328
206,2018-12-21,90371
207,2018-12-22,122780
208,2018-12-23,158330
209,2018-12-24,160293
210,2018-12-25,86617
211,2018-12-27,87533
212,2018-12-28,121605
213,2018-12-29,136923
214,2018-12-30,145920
215,2018-12-31,121472
216,2019-01-02,288732
217,2019-01-03,312162
218,2019-01-04,246400
219,2019-01-05,214133
220,2019-01-06,208366
221,2019-01-07,125371
222,2019-01-08,85270
223,2019-01-10,67828
224,2019-01-11,91714
225,2019-01-12,210200
226,2019-01-13,271479
227,2019-01-14,151203
228,2019-01-15,79550
229,2019-01-17,73934
230,2019-01-18,89550
231,2019-01-19,137808
232,2019-01-20,136914
233,2019-01-21,83776
234,2019-01-22,59902
235,2019-01-24,78650
236,2019-01-25,81775
237,2019-01-26,142060
238,2019-01-27,162428
239,2019-01-28,66250
240,2019-01-29,89003
241,2019-01-31,71814
242,2019-02-01,72608
243,2019-02-02,142546
244,2019-02-03,142893
245,2019-02-04,100470
246,2019-02-05,97576
247,2019-02-07,80240
248,2019-02-08,69773
249,2019-02-09,128000
250,2019-02-10,146650
251,2019-02-11,184287
252,2019-02-12,83946
253,2019-02-14,83934
254,2019-02-15,91732
255,2019-02-16,105198
256,2019-02-17,147688
257,2019-02-18,108587
258,2019-02-19,60642
259,2019-02-21,83573
260,2019-02-22,82579
261,2019-02-23,140042
262,2019-02-24,156926
263,2019-02-25,124662
264,2019-02-26,107028
265,2019-02-28,71666
266,2019-03-01,81834
267,2019-03-02,145414
268,2019-03-03,156634
269,2019-03-04,105538
270,2019-03-05,123357
271,2019-03-07,72876
272,2019-03-08,106505
273,2019-03-09,158482
274,2019-03-10,155779
275,2019-03-11,76539
276,2019-03-12,97746
277,2019-03-14,102368
278,2019-03-15,85089
279,2019-03-16,123260
280,2019-03-17,158623
281,2019-03-18,116265
282,2019-03-19,99148
283,2019-03-21,151459
284,2019-03-22,130153
285,2019-03-23,151292
286,2019-03-24,164026
287,2019-03-25,127734
288,2019-03-26,130246
289,2019-03-28,117350
290,2019-03-29,145617
291,2019-03-30,162830
292,2019-03-31,192480
293,2019-04-01,120603
294,2019-04-02,120511
295,2019-04-04,116520
296,2019-04-05,114846
297,2019-04-06,187362
298,2019-04-07,187710
299,2019-04-08,110389
300,2019-04-09,119846
301,2019-04-11,122110
302,2019-04-12,151700
303,2019-04-13,232302
304,2019-04-14,202214
305,2019-04-15,148648
306,2019-04-16,158990
307,2019-04-18,135047
308,2019-04-19,136748
309,2019-04-20,217080
310,2019-04-21,222445
311,2019-04-22,91195
312,2019-04-23,98130
313,2019-04-25,83548
314,2019-04-26,93019
315,2019-04-27,178922
316,2019-04-28,215415
317,2019-04-29,261012
318,2019-04-30,252521
319,2019-05-01,272000
320,2019-05-02,246624
321,2019-05-03,263615
322,2019-05-04,268269
323,2019-05-05,190390
324,2019-05-06,177826
325,2019-05-07,84725
326,2019-05-09,84664
327,2019-05-10,105446
328,2019-05-11,123028
329,2019-05-12,155654
330,2019-05-13,99044
331,2019-05-14,110305
332,2019-05-16,83341
333,2019-05-17,122232
334,2019-05-18,153855
335,2019-05-19,197689
336,2019-05-20,94125
337,2019-05-21,92229
338,2019-05-23,89595
339,2019-05-24,105138
340,2019-05-25,214433
341,2019-05-26,222438
342,2019-05-27,101034
343,2019-05-28,92775
344,2019-05-30,116864
345,2019-05-31,104586
346,2019-06-01,175294
347,2019-06-02,161090
348,2019-06-03,109862
349,2019-06-04,76102
350,2019-06-06,85531
351,2019-06-07,85099
352,2019-06-08,162855
353,2019-06-09,165578
354,2019-06-10,85198
355,2019-06-11,92000
356,2019-06-13,121895
357,2019-06-14,130342
358,2019-06-15,111304
359,2019-06-16,144659
360,2019-06-17,97070
361,2019-06-18,87838
362,2019-06-20,77873
363,2019-06-21,89486
364,2019-06-22,267916
365,2019-06-23,241542
366,2019-06-24,85179
367,2019-06-25,87664
368,2019-06-27,82347
369,2019-06-28,96563
370,2019-06-29,155970
371,2019-06-30,141999
372,2019-07-01,106629
373,2019-07-02,74611
374,2019-07-04,74987
375,2019-07-05,80822
376,2019-07-06,150506
377,2019-07-07,125208
378,2019-07-08,118399
379,2019-07-09,94841
380,2019-07-11,120525
381,2019-07-12,103585
382,2019-07-13,159176
383,2019-07-14,200613
384,2019-07-15,198177
385,2019-07-16,85268
386,2019-07-18,81294
387,2019-07-19,101680
388,2019-07-20,153254
389,2019-07-21,173584
390,2019-07-22,108073
391,2019-07-23,107884
392,2019-07-25,83335
393,2019-07-26,85254
394,2019-07-27,145049
395,2019-07-28,168001
396,2019-07-29,113206
397,2019-07-30,103002
398,2019-08-01,94791
399,2019-08-02,84487
400,2019-08-03,159728
401,2019-08-04,148014
402,2019-08-05,77604
403,2019-08-06,115453
404,2019-08-08,109093
405,2019-08-09,116095
406,2019-08-10,137979
407,2019-08-11,200638
408,2019-08-12,217585
409,2019-08-13,197771
410,2019-08-14,190459
411,2019-08-15,205257
412,2019-08-16,155482
413,2019-08-17,162395
414,2019-08-18,140353
415,2019-08-19,132566
416,2019-08-20,113807
417,2019-08-22,128549
418,2019-08-23,112343
419,2019-08-24,152437
420,2019-08-25,168883
421,2019-08-26,112414
422,2019-08-27,116071
423,2019-08-29,102215
424,2019-08-30,92653
425,2019-08-31,138428
426,2019-09-01,186093
427,2019-09-02,110238
428,2019-09-03,77815
429,2019-09-05,97216
430,2019-09-06,113236
431,2019-09-07,131008
432,2019-09-08,157193
433,2019-09-09,91350
434,2019-09-10,88545
435,2019-09-11,1024
436,2019-09-12,108615
437,2019-09-13,95159
438,2019-09-14,141768
439,2019-09-15,187331
440,2019-09-16,168916
441,2019-09-17,101075
442,2019-09-19,500
443,2019-09-20,91539
444,2019-09-21,138996
445,2019-09-22,173628
446,2019-09-23,167572
447,2019-09-24,119884
448,2019-09-25,5398
449,2019-09-26,97917
450,2019-09-27,102664
451,2019-09-28,142862
452,2019-09-29,208079
453,2019-09-30,134076
454,2019-10-01,123375
455,2019-10-02,93592
456,2019-10-03,115843
457,2019-10-04,124984
458,2019-10-05,150596
459,2019-10-06,144069
460,2019-10-07,114059
461,2019-10-08,117853
462,2019-10-10,108156
463,2019-10-11,120508
464,2019-10-12,46407
465,2019-10-13,123818
466,2019-10-14,116449
467,2019-10-15,116869
468,2019-10-17,110894
469,2019-10-18,97805
470,2019-10-19,141858
471,2019-10-20,152239
472,2019-10-21,145254
473,2019-10-22,165824
474,2019-10-24,94547
475,2019-10-25,87886
476,2019-10-26,156089
477,2019-10-27,185594
478,2019-10-28,116320
479,2019-10-29,108891
480,2019-10-31,100477
481,2019-11-01,109571
482,2019-11-02,148770
483,2019-11-03,225582
484,2019-11-04,186006
485,2019-11-05,124650
486,2019-11-07,111165
487,2019-11-08,99504
488,2019-11-09,151227
489,2019-11-10,180640
490,2019-11-11,100002
491,2019-11-12,119368
492,2019-11-14,101570
493,2019-11-15,109742
494,2019-11-16,153170
495,2019-11-17,189218
496,2019-11-18,116883
497,2019-11-19,87615
498,2019-11-21,90190
499,2019-11-22,110270
500,2019-11-23,187760
501,2019-11-24,178516
502,2019-11-25,110492
503,2019-11-26,92566
504,2019-11-28,96207
505,2019-11-29,101236
506,2019-11-30,160410
507,2019-12-01,139487
508,2019-12-02,66593
509,2019-12-03,92433
510,2019-12-05,83399
511,2019-12-06,86812
512,2019-12-07,160762
513,2019-12-08,173600
514,2019-12-09,93904
515,2019-12-10,90375
516,2019-12-12,102181
517,2019-12-13,80313
518,2019-12-14,173502
519,2019-12-15,175795
520,2019-12-16,97521
521,2019-12-17,74522
522,2019-12-19,103489
523,2019-12-20,98687
524,2019-12-21,147276
525,2019-12-22,131953
526,2019-12-23,69563
527,2019-12-24,74588
528,2019-12-26,95159
529,2019-12-27,125906
530,2019-12-28,144381
531,2019-12-29,177919
532,2019-12-30,172197
533,2019-12-31,149889
