Date,Total
2018-04-26,154847
2018-04-27,115404
2018-04-28,214596
2018-04-29,266887
2018-04-30,243023
2018-05-01,178002
2018-05-03,295580
2018-05-04,319258
2018-05-05,314094
2018-05-06,194458
2018-05-07,77920
2018-05-08,120288
2018-05-10,139507
2018-05-11,124279
2018-05-12,173772
2018-05-13,167146
2018-05-14,183738
2018-05-15,123523
2018-05-17,136324
2018-05-18,119639
2018-05-19,176133
2018-05-20,225944
2018-05-21,126710
2018-05-22,124832
2018-05-24,149209
2018-05-25,131120
2018-05-26,234516
2018-05-27,254770
2018-05-28,121127
2018-05-29,136000
2018-05-31,98306
2018-06-01,96348
2018-06-02,133386
2018-06-03,177600
2018-06-04,97464
2018-06-05,84759
2018-06-07,92087
2018-06-08,101613
2018-06-09,155254
2018-06-10,179647
2018-06-11,99016
2018-06-12,101206
2018-06-14,111001
2018-06-15,84298
2018-06-16,156464
2018-06-17,175705
2018-06-18,125055
2018-06-19,102558
2018-06-21,116369
2018-06-22,90414
2018-06-23,290215
2018-06-24,298974
2018-06-25,92122
2018-06-26,79979
2018-06-28,96633
2018-06-29,93932
2018-06-30,172305
2018-07-01,166066
2018-07-02,91755
2018-07-03,82570
2018-07-05,67595
2018-07-06,88669
2018-07-07,141810
2018-07-08,173390
2018-07-09,94914
2018-07-10,98216
2018-07-12,101531
2018-07-13,91054
2018-07-14,149542
2018-07-15,168935
2018-07-16,156360
2018-07-17,105594
2018-07-19,94263
2018-07-20,75670
2018-07-21,176936
2018-07-22,188904
2018-07-23,100724
2018-07-24,77000
2018-07-26,68937
2018-07-27,97895
2018-07-28,159431
2018-07-29,203460
2018-07-30,91347
2018-07-31,115380
2018-08-02,98120
2018-08-03,110311
2018-08-04,223959
2018-08-05,168041
2018-08-06,122505
2018-08-07,160031
2018-08-09,131674
2018-08-10,98537
2018-08-11,220499
2018-08-12,201212
2018-08-13,185724
2018-08-14,200972
2018-08-15,183379
2018-08-16,250546
2018-08-17,189598
2018-08-18,196901
2018-08-19,224616
2018-08-20,133429
2018-08-21,123645
2018-08-23,135421
2018-08-24,113872
2018-08-25,163228
2018-08-26,170769
2018-08-27,117579
2018-08-28,122661
2018-08-30,111719
2018-08-31,107299
2018-09-01,158187
2018-09-02,226889
2018-09-03,94085
2018-09-04,81738
2018-09-06,124405
2018-09-07,108796
2018-09-08,137185
2018-09-09,179356
2018-09-10,101135
2018-09-13,142697
2018-09-14,114108
2018-09-15,140184
2018-09-16,195630
2018-09-17,175200
2018-09-18,111007
2018-09-19,290
2018-09-20,99214
2018-09-21,115577
2018-09-22,161742
2018-09-23,204532
2018-09-24,226790
2018-09-25,96165
2018-09-27,99094
2018-09-28,110190
2018-09-29,144113
2018-09-30,123487
2018-10-01,109659
2018-10-02,169513
2018-10-04,5300
2018-10-05,123256
2018-10-06,130873
2018-10-07,197367
2018-10-08,200218
2018-10-09,105451
2018-10-11,101768
2018-10-12,129778
2018-10-13,140909
2018-10-14,163964
2018-10-15,109160
2018-10-16,101311
2018-10-18,78326
2018-10-19,94217
2018-10-20,137017
2018-10-21,174393
2018-10-22,120880
2018-10-23,99736
2018-10-25,114090
2018-10-26,104863
2018-10-27,152052
2018-10-28,172319
2018-10-29,119028
2018-10-30,99598
2018-11-01,93200
2018-11-02,102684
2018-11-03,212120
2018-11-04,184720
2018-11-05,116806
2018-11-06,85447
2018-11-08,102235
2018-11-09,110433
2018-11-10,174170
2018-11-11,166654
2018-11-12,92758
2018-11-13,78164
2018-11-15,99194
2018-11-16,99212
2018-11-17,162518
2018-11-18,179736
2018-11-19,84158
2018-11-20,101643
2018-11-22,105243
2018-11-23,164549
2018-11-24,195538
2018-11-25,160010
2018-11-26,109793
2018-11-27,73730
2018-11-29,85950
2018-11-30,82260
2018-12-01,120410
2018-12-02,176795
2018-12-03,89626
2018-12-04,90179
2018-12-06,74228
2018-12-07,91990
2018-12-08,138000
2018-12-09,196010
2018-12-10,82360
2018-12-11,82090
2018-12-13,84608
2018-12-14,72010
2018-12-15,136742
2018-12-16,121728
2018-12-17,87391
2018-12-18,79699
2018-12-20,76328
2018-12-21,90371
2018-12-22,122780
2018-12-23,158330
2018-12-24,160293
2018-12-25,86617
2018-12-27,87533
2018-12-28,121605
2018-12-29,136923
2018-12-30,145920
2018-12-31,121472
