,Date,Actual Sales,Prophet,Diference,,Expectation,Diference
534,02/01/20," $338,431 "," $237,234 ","-$101,197 ",," $387,000 ","-$48,569 "
535,03/01/20," $338,876 "," $267,866 ","-$71,010 ",," $336,000 "," $2,876 "
536,04/01/20," $280,859 "," $312,914 "," $32,055 ",," $264,000 "," $16,859 "
537,05/01/20," $221,441 "," $257,519 "," $36,078 ",," $221,000 ", $441 
538,06/01/20," $112,667 "," $130,033 "," $17,366 ",," $214,000 ","-$101,333 "
539,07/01/20," $107,275 "," $118,872 "," $11,597 ",," $125,000 ","-$17,725 "
540,09/01/20," $116,077 "," $114,864 ","-$1,213 ",, $-   ," $116,077 "
541,10/01/20," $95,327 "," $118,124 "," $22,797 ",," $72,000 "," $23,327 "
542,11/01/20," $216,055 "," $282,652 "," $66,597 ",," $91,000 "," $125,055 "
543,12/01/20," $274,174 "," $250,876 ","-$23,298 ",," $255,000 "," $19,174 "
544,13/01/20," $220,859 "," $196,513 ","-$24,346 ",," $334,000 ","-$113,141 "
545,14/01/20," $93,779 "," $115,813 "," $22,034 ",," $166,000 ","-$72,221 "
546,16/01/20," $107,391 "," $102,081 ","-$5,310 ",, $-   ," $107,391 "
547,17/01/20," $101,089 "," $104,263 "," $3,174 ",," $73,000 "," $28,089 "
548,18/01/20," $153,200 "," $146,571 ","-$6,629 ",," $89,000 "," $64,200 "
549,19/01/20," $139,842 "," $156,212 "," $16,370 ",," $136,000 "," $3,842 "
550,20/01/20," $111,397 "," $99,033 ","-$12,364 ",," $136,000 ","-$24,603 "
551,21/01/20," $83,612 "," $93,138 "," $9,526 ",," $83,000 ", $612 
552,23/01/20," $79,416 "," $87,026 "," $7,610 ",, $-   ," $79,416 "
553,24/01/20," $113,225 "," $89,920 ","-$23,305 ",," $78,000 "," $35,225 "
554,25/01/20," $138,492 "," $133,176 ","-$5,316 ",," $81,000 "," $57,492 "
555,26/01/20," $166,096 "," $143,981 ","-$22,115 ",," $149,000 "," $17,096 "
556,27/01/20," $99,064 "," $88,157 ","-$10,907 ",," $170,000 ","-$70,936 "
557,28/01/20," $65,286 "," $83,779 "," $18,493 ",," $70,000 ","-$4,714 "
558,30/01/20," $92,291 "," $81,057 ","-$11,234 ",, $-   ," $92,291 "
559,31/01/20," $101,845 "," $85,752 ","-$16,093 ",," $76,000 "," $25,845 "
,," $3,968,066 "," $3,897,428 ",,," $3,606,000 ",
,,,,,,,
,,,,,,,
,,,,,,,
,Actual Sales Vs Prophet,," $70,638 ",1.78%,,,
,Actual Sales Vs Expectation,," $362,066 ",9.12%,,,
