,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,event,event_lower,event_upper,holidays,holidays_lower,holidays_upper,superholiday,superholiday_lower,superholiday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,こどもの日,こどもの日_lower,こどもの日_upper,みどりの日,みどりの日_lower,みどりの日_upper,体育の日,体育の日_lower,体育の日_upper,元日,元日_lower,元日_upper,勤労感謝の日,勤労感謝の日_lower,勤労感謝の日_upper,即位礼正殿の儀が行われる日,即位礼正殿の儀が行われる日_lower,即位礼正殿の儀が行われる日_upper,国民の休日,国民の休日_lower,国民の休日_upper,天皇の即位の日,天皇の即位の日_lower,天皇の即位の日_upper,天皇誕生日,天皇誕生日_lower,天皇誕生日_upper,山の日,山の日_lower,山の日_upper,建国記念の日,建国記念の日_lower,建国記念の日_upper,憲法記念日,憲法記念日_lower,憲法記念日_upper,成人の日,成人の日_lower,成人の日_upper,振替休日,振替休日_lower,振替休日_upper,敬老の日,敬老の日_lower,敬老の日_upper,文化の日,文化の日_lower,文化の日_upper,春分の日,春分の日_lower,春分の日_upper,昭和の日,昭和の日_lower,昭和の日_upper,海の日,海の日_lower,海の日_upper,秋分の日,秋分の日_lower,秋分の日_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-04-26,125733.79600236818,81220.99849249356,163268.03398313155,125733.79600236818,125733.79600236818,-3572.6304095631085,-3572.6304095631085,-3572.6304095631085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15462.756748193728,-15462.756748193728,-15462.756748193728,11890.126338630618,11890.126338630618,11890.126338630618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122161.16559280507
1,2018-04-27,125686.5682008351,84954.75689490812,165464.97241386274,125686.5682008351,125686.5682008351,259.673526112474,259.673526112474,259.673526112474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10972.066835521775,-10972.066835521775,-10972.066835521775,11231.74036163425,11231.74036163425,11231.74036163425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125946.24172694757
2,2018-04-28,125639.340399302,180398.25601222896,263734.6258440311,125639.340399302,125639.340399302,97745.0571602474,97745.0571602474,97745.0571602474,53507.79378410487,53507.79378410487,53507.79378410487,53507.79378410487,53507.79378410487,53507.79378410487,0.0,0.0,0.0,33634.20688078797,33634.20688078797,33634.20688078797,10603.056495354542,10603.056495354542,10603.056495354542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223384.3975595494
3,2018-04-29,125592.11259776892,256912.18111106096,340366.2918767904,125592.11259776892,125592.11259776892,172466.68002240174,172466.68002240174,172466.68002240174,60149.74531866876,60149.74531866876,60149.74531866876,116884.64945472397,116884.64945472397,116884.64945472397,69141.13809161693,69141.13809161693,69141.13809161693,45576.77781461278,45576.77781461278,45576.77781461278,10005.252753064988,10005.252753064988,10005.252753064988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12406.233955561709,-12406.233955561709,-12406.233955561709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298058.7926201706
4,2018-04-30,125544.88479623583,219994.73426666632,302352.4767964001,125544.88479623583,125544.88479623583,133996.25182450123,133996.25182450123,133996.25182450123,60149.74531866876,60149.74531866876,60149.74531866876,133897.64472794562,133897.64472794562,133897.64472794562,19747.280095787468,19747.280095787468,19747.280095787468,-9341.050070894598,-9341.050070894598,-9341.050070894598,9439.657167450216,9439.657167450216,9439.657167450216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54000.619313489406,54000.619313489406,54000.619313489406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259541.13662073706
5,2018-05-01,125497.65699470275,86312.09976871341,169904.73496207464,125497.65699470276,125497.65699470276,2427.702894733182,2427.702894733182,2427.702894733182,6641.951534563897,6641.951534563897,6641.951534563897,6641.951534563897,6641.951534563897,6641.951534563897,0.0,0.0,0.0,-13122.015561044564,-13122.015561044564,-13122.015561044564,8907.76692121385,8907.76692121385,8907.76692121385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127925.35988943593
6,2018-05-03,125403.20139163657,237881.1389271964,322512.18305031914,125403.20139163657,125403.20139163657,153986.4315467504,153986.4315467504,153986.4315467504,53507.79378410487,53507.79378410487,53507.79378410487,161497.3559493837,161497.3559493837,161497.3559493837,69141.13809161693,69141.13809161693,69141.13809161693,-15462.756748153775,-15462.756748153775,-15462.756748153775,7951.83234552046,7951.83234552046,7951.83234552046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38848.42407366192,38848.42407366192,38848.42407366192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279389.632938387
7,2018-05-04,125355.97359010349,237267.02366434468,316727.4962305835,125355.97359010349,125355.97359010349,151891.65890346875,151891.65890346875,151891.65890346875,60149.74531866876,60149.74531866876,60149.74531866876,155332.3598786186,155332.3598786186,155332.3598786186,88888.4181874044,88888.4181874044,88888.4181874044,-10972.066835479482,-10972.066835479482,-10972.066835479482,7531.365860329633,7531.365860329633,7531.365860329633,0.0,0.0,0.0,6294.196372545428,6294.196372545428,6294.196372545428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277247.63249357225
8,2018-05-05,125308.74578857039,271856.9066467798,355608.66389665275,125308.74578857039,125308.74578857039,187869.71414460693,187869.71414460693,187869.71414460693,60149.74531866876,60149.74531866876,60149.74531866876,147083.91535798748,147083.91535798748,147083.91535798748,88888.4181874044,88888.4181874044,88888.4181874044,33634.2068807963,33634.2068807963,33634.2068807963,7151.591905823172,7151.591905823172,7151.591905823172,-1954.2481480856923,-1954.2481480856923,-1954.2481480856923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313178.45993317734
9,2018-05-06,125261.51798703731,165426.6917563847,243487.2185096535,125261.51798703731,125261.51798703731,78780.10303846581,78780.10303846581,78780.10303846581,6641.951534563897,6641.951534563897,6641.951534563897,26389.231630351365,26389.231630351365,26389.231630351365,19747.280095787468,19747.280095787468,19747.280095787468,45576.77781459568,45576.77781459568,45576.77781459568,6814.093593518758,6814.093593518758,6814.093593518758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204041.62102550312
