,date,temp,rain
0,2019-01-01,-0.5,0.0
1,2019-01-02,1.8,1.5
2,2019-01-03,-0.8,0.0
3,2019-01-04,-1.7,0.0
4,2019-01-05,4.0,0.0
5,2019-01-06,-0.7,0.0
6,2019-01-07,-1.2,0.0
7,2019-01-08,1.8,0.0
8,2019-01-09,0.1,0.0
9,2019-01-10,-3.7,0.0
10,2019-01-11,0.2,0.0
11,2019-01-12,-0.2,0.0
12,2019-01-13,1.2,0.0
13,2019-01-14,1.4,0.0
14,2019-01-15,1.3,0.0
15,2019-01-16,4.1,0.0
16,2019-01-17,0.6,0.0
17,2019-01-18,-0.2,0.0
18,2019-01-19,-0.2,0.0
19,2019-01-20,2.4,0.0
20,2019-01-21,-0.4,0.0
21,2019-01-22,0.5,0.0
22,2019-01-23,-0.4,0.0
23,2019-01-24,0.5,0.5
24,2019-01-25,-2.1,0.0
25,2019-01-26,-0.4,0.0
26,2019-01-27,-2.2,0.0
27,2019-01-28,-0.1,0.0
28,2019-01-29,-0.3,0.0
29,2019-01-30,0.2,0.0
30,2019-01-31,1.2,2.0
31,2019-02-01,-2.4,0.0
32,2019-02-02,0.6,0.0
33,2019-02-03,2.6,3.0
34,2019-02-04,10.2,2.5
35,2019-02-05,3.2,0.0
36,2019-02-06,4.0,0.0
37,2019-02-07,5.1,0.0
38,2019-02-08,-0.6,0.0
39,2019-02-09,-3.1,0.0
40,2019-02-10,-2.5,0.0
41,2019-02-11,0.4,0.0
42,2019-02-12,1.8,0.0
43,2019-02-13,-0.6,0.0
44,2019-02-14,-1.9,0.0
45,2019-02-15,0.6,0.0
46,2019-02-16,4.7,0.0
47,2019-02-17,0.4,0.0
48,2019-02-18,1.4,0.0
49,2019-02-19,5.1,5.5
50,2019-02-20,11.2,0.0
51,2019-02-21,4.4,0.0
52,2019-02-22,4.6,0.0
53,2019-02-23,3.8,0.0
54,2019-02-24,5.0,0.0
55,2019-02-25,9.7,0.0
56,2019-02-26,6.0,0.0
57,2019-02-27,2.8,0.0
58,2019-02-28,3.8,4.0
59,2019-03-01,7.4,0.0
60,2019-03-02,4.3,0.0
61,2019-03-03,4.8,0.5
62,2019-03-04,3.2,27.5
63,2019-03-05,5.5,0.0
64,2019-03-06,8.0,6.5
65,2019-03-07,4.7,9.0
66,2019-03-08,2.4,0.0
67,2019-03-09,5.3,0.0
68,2019-03-10,9.8,8.5
69,2019-03-11,4.4,29.5
70,2019-03-12,6.1,0.0
71,2019-03-13,6.0,0.5
72,2019-03-14,3.2,0.0
73,2019-03-15,3.8,0.0
74,2019-03-16,4.4,0.0
75,2019-03-17,2.2,0.0
76,2019-03-18,6.0,0.0
77,2019-03-19,9.7,0.0
78,2019-03-20,10.8,0.0
79,2019-03-21,13.2,2.0
80,2019-03-22,13.4,0.0
81,2019-03-23,2.6,0.0
82,2019-03-24,3.1,0.0
83,2019-03-25,6.2,0.0
84,2019-03-26,8.4,0.0
85,2019-03-27,8.0,0.0
86,2019-03-28,7.6,2.5
87,2019-03-29,5.4,0.0
88,2019-03-30,7.0,3.0
89,2019-03-31,8.2,0.0
90,2019-04-01,4.6,0.0
91,2019-04-02,1.6,0.0
92,2019-04-03,2.8,0.0
93,2019-04-04,5.4,0.0
94,2019-04-05,13.2,0.0
95,2019-04-06,12.2,0.0
96,2019-04-07,10.6,0.0
97,2019-04-08,12.3,0.0
98,2019-04-09,6.2,0.0
99,2019-04-10,2.5,26.5
100,2019-04-11,5.2,0.0
101,2019-04-12,5.2,0.0
102,2019-04-13,7.9,0.0
103,2019-04-14,12.0,1.5
104,2019-04-15,10.3,1.5
105,2019-04-16,10.2,0.0
106,2019-04-17,12.1,0.0
107,2019-04-18,14.7,0.0
108,2019-04-19,16.3,0.0
109,2019-04-20,14.2,0.0
110,2019-04-21,14.1,0.0
111,2019-04-22,17.0,0.0
112,2019-04-23,17.2,0.0
113,2019-04-24,17.0,2.0
114,2019-04-25,20.6,2.0
115,2019-04-26,16.9,9.5
116,2019-04-27,9.0,3.5
117,2019-04-28,7.6,0.0
118,2019-04-29,10.8,0.0
119,2019-04-30,12.0,13.5
120,2019-05-01,14.0,3.5
121,2019-05-02,15.0,0.0
122,2019-05-03,14.5,0.0
123,2019-05-04,15.4,0.0
124,2019-05-05,16.6,0.0
125,2019-05-06,18.2,6.0
126,2019-05-07,10.3,0.0
127,2019-05-08,11.8,0.0
128,2019-05-09,17.0,0.0
129,2019-05-10,16.6,0.0
130,2019-05-11,18.2,0.0
131,2019-05-12,17.8,0.0
132,2019-05-13,18.5,0.0
133,2019-05-14,18.4,0.5
134,2019-05-15,17.3,0.0
135,2019-05-16,19.9,0.0
136,2019-05-17,20.3,0.0
137,2019-05-18,19.8,0.0
138,2019-05-19,20.8,0.0
139,2019-05-20,19.6,1.5
140,2019-05-21,18.8,51.5
141,2019-05-22,17.1,0.0
142,2019-05-23,17.8,0.0
143,2019-05-24,18.9,0.0
144,2019-05-25,21.3,0.0
145,2019-05-26,23.2,0.0
146,2019-05-27,24.5,0.0
147,2019-05-28,22.0,0.5
148,2019-05-29,18.6,1.0
149,2019-05-30,17.1,0.0
150,2019-05-31,18.4,1.0
151,2019-06-01,18.7,0.0
152,2019-06-02,18.2,0.0
153,2019-06-03,21.4,0.0
154,2019-06-04,23.2,0.0
155,2019-06-05,23.4,0.0
156,2019-06-06,22.7,0.0
157,2019-06-07,17.7,19.5
158,2019-06-08,19.0,0.0
159,2019-06-09,16.2,12.0
160,2019-06-10,15.2,21.5
161,2019-06-11,17.6,7.0
162,2019-06-12,17.4,0.0
163,2019-06-13,20.3,0.0
164,2019-06-14,21.2,0.0
165,2019-06-15,15.0,25.5
166,2019-06-16,18.8,4.5
167,2019-06-17,17.9,0.0
168,2019-06-18,20.2,0.0
169,2019-06-19,21.7,0.0
170,2019-06-20,22.1,0.0
171,2019-06-21,22.7,0.0
172,2019-06-22,21.6,0.0
173,2019-06-23,22.3,0.5
174,2019-06-24,19.0,2.0
175,2019-06-25,21.0,0.0
176,2019-06-26,23.2,0.0
177,2019-06-27,23.4,2.0
178,2019-06-28,25.0,4.5
179,2019-06-29,23.4,0.5
180,2019-06-30,25.5,26.5
181,2019-07-01,25.0,0.0
182,2019-07-02,24.4,0.0
183,2019-07-03,23.2,1.5
184,2019-07-04,23.3,28.0
185,2019-07-05,24.1,0.0
186,2019-07-06,22.2,0.0
187,2019-07-07,21.8,2.0
188,2019-07-08,22.6,0.0
189,2019-07-09,22.4,1.5
190,2019-07-10,24.0,1.0
191,2019-07-11,21.8,2.5
192,2019-07-12,23.1,2.5
193,2019-07-13,23.0,2.0
194,2019-07-14,21.2,9.5
195,2019-07-15,23.6,2.0
196,2019-07-16,24.0,2.0
197,2019-07-17,25.1,11.5
198,2019-07-18,22.2,36.5
199,2019-07-19,24.5,0.0
200,2019-07-20,24.2,0.5
201,2019-07-21,25.6,0.0
202,2019-07-22,25.4,2.5
203,2019-07-23,26.0,0.0
204,2019-07-24,26.9,0.0
205,2019-07-25,27.8,0.0
206,2019-07-26,27.4,0.0
207,2019-07-27,26.0,20.5
208,2019-07-28,26.3,2.5
209,2019-07-29,27.6,9.5
210,2019-07-30,27.8,0.0
